customer_id,country,city,tenure_days,freq,monetary,avg_amount,max_amount,recency_days,avg_gap_days,label_churn
1001,IN,Delhi,217,4,747.3456313370364,186.8364078342591,305.80686821430163,10.0,60.666666666666664,0
1002,UK,London,91,3,543.9962227175098,181.33207423916994,296.6676839346368,24.0,9.5,1
1003,US,NYC,139,2,720.3052244342623,360.15261221713115,540.1838121493264,45.0,83.0,0
1004,IN,Delhi,168,2,551.1185035829095,275.55925179145476,457.4659718729265,49.0,37.0,0
1005,SG,Singapore,265,6,1345.9331095393786,224.32218492322977,376.43963893744433,94.0,15.4,0
1006,IN,Delhi,265,3,693.8092029574563,231.2697343191521,482.4296368344506,70.0,48.0,0
1007,IN,Bengaluru,287,6,1147.6302007376275,191.27170012293792,466.6828870437449,78.0,20.8,1
1008,US,Austin,109,3,294.9395624752042,98.31318749173472,107.81877610376785,18.0,39.0,0
1009,SG,Singapore,167,1,104.98997593201756,104.98997593201756,104.98997593201756,21.0,,1
1010,SG,Singapore,144,2,471.95695404025196,235.97847702012598,299.06748103167433,1.0,27.0,0
1011,SG,Singapore,295,8,1194.5921772901359,149.32402216126698,198.06703599828583,36.0,16.857142857142858,0
1012,US,SF,87,0,,,,,,0
1013,SG,Singapore,117,2,148.84966300859605,74.42483150429803,80.61499687673816,87.0,30.0,1
1014,IN,Bengaluru,253,5,754.7480693165753,150.94961386331505,260.18867369110075,95.0,17.0,0
1015,DE,Munich,260,2,512.0284265367526,256.0142132683763,318.2804960356801,55.0,6.0,0
1016,UK,London,259,1,82.51468961508492,82.51468961508492,82.51468961508492,61.0,,0
1017,US,SF,233,3,366.182429730465,122.060809910155,199.53521569539132,36.0,44.5,1
1018,IN,Delhi,184,3,747.1802246551573,249.06007488505244,485.42093035849217,17.0,33.0,0
1019,DE,Berlin,205,5,979.5952898804842,195.91905797609684,315.27764879472494,41.0,37.5,0
1020,UK,Manchester,236,6,1141.9417281128872,190.32362135214785,375.5918771608867,1.0,33.8,0
1021,SG,Singapore,165,2,376.6986830489011,188.34934152445055,288.6520975817963,40.0,11.0,0
1022,IN,Hyderabad,269,5,819.7686402927216,163.9537280585443,233.22008101000796,27.0,41.75,0
1023,SG,Singapore,235,4,825.4131407119039,206.35328517797598,379.6745420834736,50.0,49.666666666666664,0
1024,DE,Berlin,219,5,811.6551289764773,162.33102579529546,199.30628063845512,21.0,26.25,0
1025,SG,Singapore,199,3,528.0153514191045,176.0051171397015,237.8119166786374,124.0,34.5,1
1026,SG,Singapore,127,2,226.5310993678925,113.26554968394625,127.9569104950909,92.0,18.0,1
1027,SG,Singapore,256,3,580.6670754737268,193.55569182457558,225.63846098168335,101.0,37.0,0
1028,IN,Delhi,187,4,585.0457604184639,146.26144010461599,283.49897285045097,28.0,34.0,0
1029,US,SF,169,2,253.93628087887487,126.96814043943743,179.74406991455297,59.0,109.0,0
